cap,trial,framework,calls_admitted,calls_refused,total_billed_uc,overshoot,refusal_point,exception,notes
5000,1,token_budgets,1,0,3,0,completed_within_budget,,
5000,1,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,2,token_budgets,1,0,3,0,completed_within_budget,,
5000,2,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,3,token_budgets,1,0,3,0,completed_within_budget,,
5000,3,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,4,token_budgets,1,0,3,0,completed_within_budget,,
5000,4,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,5,token_budgets,1,0,3,0,completed_within_budget,,
5000,5,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,6,token_budgets,1,0,3,0,completed_within_budget,,
5000,6,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,7,token_budgets,1,0,3,0,completed_within_budget,,
5000,7,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,8,token_budgets,1,0,3,0,completed_within_budget,,
5000,8,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,9,token_budgets,1,0,3,0,completed_within_budget,,
5000,9,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,10,token_budgets,1,0,3,0,completed_within_budget,,
5000,10,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,11,token_budgets,1,0,3,0,completed_within_budget,,
5000,11,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,12,token_budgets,1,0,3,0,completed_within_budget,,
5000,12,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,13,token_budgets,1,0,3,0,completed_within_budget,,
5000,13,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,14,token_budgets,1,0,3,0,completed_within_budget,,
5000,14,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,15,token_budgets,1,0,3,0,completed_within_budget,,
5000,15,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,16,token_budgets,1,0,3,0,completed_within_budget,,
5000,16,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,17,token_budgets,1,0,3,0,completed_within_budget,,
5000,17,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
5000,18,token_budgets,1,0,3,0,completed_within_budget,,
5000,18,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
