prompt_id,category,depth,byte_length,margin,estimate,anthropic_tokens,anthropic_ratio,anthropic_a1_pass
prereg-000,cjk_unicode,,246,3.0,738,103,7.165,PASS
prereg-001,cjk_unicode,,234,3.0,702,94,7.468,PASS
prereg-002,cjk_unicode,,234,3.0,702,94,7.468,PASS
prereg-003,cjk_unicode,,246,3.0,738,103,7.165,PASS
prereg-004,cjk_unicode,,259,3.0,777,101,7.693,PASS
prereg-005,cjk_unicode,,254,3.0,762,95,8.021,PASS
prereg-006,cjk_unicode,,246,3.0,738,103,7.165,PASS
prereg-007,cjk_unicode,,247,3.0,741,92,8.054,PASS
prereg-008,cjk_unicode,,239,3.0,717,100,7.170,PASS
prereg-009,cjk_unicode,,262,3.0,786,97,8.103,PASS
prereg-010,cjk_unicode,,234,3.0,702,94,7.468,PASS
prereg-011,cjk_unicode,,239,3.0,717,100,7.170,PASS
prereg-012,cjk_unicode,,247,3.0,741,92,8.054,PASS
prereg-013,cjk_unicode,,246,3.0,738,103,7.165,PASS
prereg-014,cjk_unicode,,247,3.0,741,92,8.054,PASS
prereg-015,source_code,,336,3.0,1008,136,7.412,PASS
prereg-016,source_code,,399,3.0,1197,136,8.801,PASS
prereg-017,source_code,,305,3.0,915,114,8.026,PASS
prereg-018,source_code,,305,3.0,915,114,8.026,PASS
prereg-019,source_code,,305,3.0,915,114,8.026,PASS
prereg-020,source_code,,336,3.0,1008,136,7.412,PASS
prereg-021,source_code,,305,3.0,915,114,8.026,PASS
prereg-022,source_code,,399,3.0,1197,136,8.801,PASS
prereg-023,source_code,,399,3.0,1197,136,8.801,PASS
prereg-024,source_code,,336,3.0,1008,136,7.412,PASS
prereg-025,math_unicode,,217,3.0,651,127,5.126,PASS
prereg-026,math_unicode,,239,3.0,717,139,5.158,PASS
prereg-027,math_unicode,,225,3.0,675,151,4.470,PASS
prereg-028,math_unicode,,209,3.0,627,141,4.447,PASS
prereg-029,math_unicode,,217,3.0,651,127,5.126,PASS
prereg-030,math_unicode,,230,3.0,690,135,5.111,PASS
prereg-031,math_unicode,,224,3.0,672,133,5.053,PASS
prereg-032,math_unicode,,230,3.0,690,135,5.111,PASS
prereg-033,math_unicode,,239,3.0,717,139,5.158,PASS
prereg-034,math_unicode,,223,3.0,669,129,5.186,PASS
